PLAIN_CONFIGURATION,MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,bu_minsim,bu_minsize,st_minprio,st_priocalc,cd_labsim,cd_maxleaves,cd_structsim1,cd_structsim2,xy_minsim,
HybridGumtree-bu_minsize-1100-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,1100,1,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1100,2,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1100,3,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,7,0,0,,1100,4,size,,,,,,
HybridGumtree-bu_minsize-1100-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,14,0,0,,1100,5,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,true,,1200,1,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3469,0,0,,1200,2,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3960,0,0,,1200,3,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3683,0,0,,1200,4,size,,,,,,
HybridGumtree-bu_minsize-1200-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3512,0,0,,1200,5,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-1-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3722,0,0,,1300,1,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3660,0,0,,1300,2,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3313,0,0,,1300,3,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3668,0,0,,1300,4,size,,,,,,
HybridGumtree-bu_minsize-1300-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3723,0,0,,1300,5,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,1400,1,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3387,0,0,,1400,2,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3365,0,0,,1400,3,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3374,0,0,,1400,4,size,,,,,,
HybridGumtree-bu_minsize-1400-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3632,0,0,,1400,5,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,1500,1,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3618,0,0,,1500,2,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3633,0,0,,1500,3,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3624,0,0,,1500,4,size,,,,,,
HybridGumtree-bu_minsize-1500-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3369,0,0,,1500,5,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,1600,1,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3627,0,0,,1600,2,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3677,0,0,,1600,3,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3473,0,0,,1600,4,size,,,,,,
HybridGumtree-bu_minsize-1600-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3484,0,0,,1600,5,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,1700,1,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3516,0,0,,1700,2,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3488,0,0,,1700,3,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3602,0,0,,1700,4,size,,,,,,
HybridGumtree-bu_minsize-1700-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3584,0,0,,1700,5,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,1800,1,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3598,0,0,,1800,2,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3563,0,0,,1800,3,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3569,0,0,,1800,4,size,,,,,,
HybridGumtree-bu_minsize-1800-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3534,0,0,,1800,5,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-1-st_priocalc-size,HybridGumtree,,,,,,,,,,,prunned,,1900,1,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-2-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3524,0,0,,1900,2,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-3-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3561,0,0,,1900,3,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-4-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3574,0,0,,1900,4,size,,,,,,
HybridGumtree-bu_minsize-1900-st_minprio-5-st_priocalc-size,HybridGumtree,5,null,0,4,1,0,0,0,3598,0,0,,1900,5,size,,,,,,
